Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01.txt,10,6,42,36,51835,5452,40,OPTIMAL,0.19
mk02.txt,10,6,32,24,101190,4580,26,OPTIMAL,2248.0
mk03.txt,15,8,211,204,2671362,77124,204,OPTIMAL,26.04
mk04.txt,15,8,81,48,193622,17737,60,OPTIMAL,14.92
mk05.txt,15,4,186,168,778288,47810,180,TIME_OUT,4800.04
mk06.txt,10,10,86,33,776736,29106,58,TIME_OUT,4800.97
mk07.txt,20,5,157,133,1357638,40472,153,TIME_OUT,4800.15
mk08.txt,20,10,528,523,4447214,290026,527,TIME_OUT,4800.14
mk09.txt,20,10,369,299,6595085,203244,308,TIME_OUT,4800.15
mk10.txt,20,15,296,165,6553453,162886,258,TIME_OUT,4800.13
